time,X,Y,Z,psi,Xdot,Ydot,Zdot,xdot,ydot,zdot,Omega_0,Omega_1,Omega_2,Omega_3,Fx_0,Fx_1,Fx_2,Fx_3,Fy_0,Fy_1,Fy_2,Fy_3,Kappa_0,Kappa_1,Kappa_2,Kappa_3,Alpha_0,Alpha_1,Alpha_2,Alpha_3
0.000000,-15.000000,-20.000000,0.000000,0.000000,5.000000,0.000000,0.000000,5.000000,0.000000,0.000000,30.000000,30.000000,30.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998316,0.998316,0.998316,0.998316,0.000000,0.000000,0.000000,0.000000
0.000000,-14.999998,-20.000000,0.000000,0.000000,5.000000,0.000000,0.000001,5.000000,0.000000,0.000001,30.000000,30.000000,30.000000,30.000000,0.017436,0.017436,0.017436,0.017436,-0.000000,-0.000000,0.000000,0.000000,0.998316,0.998316,0.998316,0.998316,0.000004,0.000004,-0.000000,-0.000000
0.000002,-14.999990,-20.000000,0.000000,0.000000,5.000000,0.000000,0.000006,5.000000,0.000000,0.000006,30.000000,30.000000,29.999990,29.999990,0.104558,0.104558,0.104558,0.104558,-0.000001,-0.000001,0.000000,0.000000,0.998316,0.998316,0.998316,0.998316,0.000004,0.000004,-0.000000,-0.000000
0.000011,-14.999947,-20.000000,0.000000,0.000000,5.000000,0.000000,0.000032,5.000000,0.000000,0.000032,29.999999,29.999999,29.999662,29.999662,0.538765,0.538765,0.538766,0.538766,-0.000003,-0.000003,0.000000,0.000000,0.998316,0.998316,0.998293,0.998293,0.000004,0.000004,-0.000000,-0.000000
0.000053,-14.999733,-20.000000,0.000000,0.000000,5.000000,0.000000,0.000160,5.000000,0.000000,0.000160,29.999974,29.999974,29.991126,29.991126,2.671222,2.671222,2.671348,2.671348,-0.000014,-0.000014,0.000000,0.000000,0.998311,0.998311,0.997721,0.997721,0.000004,0.000004,-0.000000,-0.000000
0.000155,-14.999224,-20.000000,0.000000,0.000000,5.000000,0.000000,0.000467,5.000000,0.000000,0.000467,29.999797,29.999797,29.925640,29.925640,7.531914,7.531914,7.534825,7.534825,-0.000036,-0.000037,0.000000,0.000000,0.998291,0.998291,0.993348,0.993348,0.000004,0.000004,-0.000000,-0.000000
0.000257,-14.998715,-20.000000,0.000000,0.000000,5.000002,0.000000,0.000780,5.000002,0.000000,0.000780,29.999459,29.999459,29.799341,29.799341,12.091310,12.091310,12.103752,12.103752,-0.000056,-0.000056,0.000000,0.000000,0.998255,0.998255,0.984917,0.984917,0.000004,0.000004,-0.000000,-0.000000
0.000470,-14.997651,-20.000000,0.000000,0.000000,5.000008,0.000000,0.001471,5.000008,0.000000,0.001472,29.998280,29.998280,29.357853,29.357853,20.730329,20.730329,20.802545,20.802545,-0.000086,-0.000087,0.000000,0.000000,0.998124,0.998124,0.955441,0.955441,0.000003,0.000003,-0.000000,-0.000000
0.000843,-14.995786,-20.000000,0.000001,0.000000,5.000029,0.000000,0.002874,5.000029,0.000000,0.002876,29.994876,29.994876,28.110039,28.110039,33.365354,33.365354,33.753628,33.753628,-0.000114,-0.000116,0.000000,0.000000,0.997681,0.997681,0.872077,0.872077,0.000003,0.000003,-0.000000,-0.000000
0.001328,-14.993358,-20.000000,0.000003,0.000000,5.000071,0.000000,0.005214,5.000071,0.000000,0.005218,29.988384,29.988384,25.897464,25.897464,45.961807,45.961807,47.382478,47.382478,-0.000122,-0.000124,0.000000,0.000000,0.996640,0.996640,0.724123,0.724123,0.000002,0.000002,-0.000000,-0.000000
0.001814,-14.990929,-20.000000,0.000006,0.000000,5.000126,0.000000,0.008239,5.000126,0.000000,0.008247,29.980113,29.980113,23.433881,23.433881,55.240187,55.240187,58.728560,58.728560,-0.000114,-0.000115,0.000000,0.000000,0.995048,0.995048,0.559221,0.559221,0.000001,0.000001,-0.000000,-0.000000
0.002474,-14.987627,-20.000000,0.000013,0.000000,5.000217,0.000000,0.013434,5.000217,0.000000,0.013448,29.966838,29.966838,20.297233,20.297233,64.094067,64.094067,72.880026,72.880026,-0.000093,-0.000094,0.000000,0.000000,0.992064,0.992064,0.349012,0.349012,0.000001,0.000001,-0.000000,-0.000000
